district_a,district_b,score_a,score_b,score_gap,cluster_a,cluster_b,biggest_domain_gap,row_a,row_b
Kottayam (Kerala),South Salmara Mancachar (Assam),0.560417011108379,0.562707176413988,0.0022901653056089932,3,6,0.7101514815013266,286,65
Sukma (Chhattisgarh),Sindhudurg (Maharashtra),0.5823770192058276,0.5840539847264032,0.0016769655205756129,4,2,0.7093475535587456,130,376
Sukma (Chhattisgarh),Mansa (Punjab),0.5823770192058276,0.5837607819510855,0.001383762745257866,4,2,0.7091317954482035,130,478
South West Khasi Hills (Meghalaya),Prakasam (Andhra Pradesh),0.5267737765365229,0.5272415241679326,0.00046774763140966513,1,0,0.7090544776950269,398,9
Komaram Bheem Asifabad (Telangana),Thrissur (Kerala),0.5945788386573799,0.5967346497432651,0.00215581108588514,4,3,0.7088026186938728,567,292
Jalgaon (Maharashtra),Sitapur (Uttar Pradesh),0.5246538949473816,0.5284076577028505,0.0037537627554689035,7,6,0.7083219070005539,358,679
Kandhamal (Odisha),Ramanagara (Karnataka),0.6581365535388186,0.6609584974779992,0.00282194393918056,4,2,0.7076693360858608,447,274
Kandhamal (Odisha),Kolar (Karnataka),0.6581365535388186,0.6591595923385196,0.0010230387997010038,4,2,0.706886720464476,447,269
Dhemaji (Assam),Tarn Taran (Punjab),0.6028882074374831,0.6046349331150919,0.001746725677608807,4,2,0.7051151282089191,44,487
Kanpur Dehat (Uttar Pradesh),Kamrup Metropolitan (Assam),0.5391235386623688,0.5423008528057629,0.003177314143394061,6,7,0.7048898896832191,648,54
Thiruvananthapuram (Kerala),Dindori (Madhya Pradesh),0.5866864716453845,0.5881854868243642,0.0014990151789797679,3,4,0.7042402052426349,291,312
Alappuzha (Kerala),Saraikela-Kharsawan (Jharkhand),0.6160406437852519,0.616462481401611,0.00042183761635905537,3,4,0.7020001419746191,280,248
Alappuzha (Kerala),Umaria (Madhya Pradesh),0.6160406437852519,0.6169268510101494,0.0008862072248975172,3,4,0.7017478917100473,280,344
South Salmara Mancachar (Assam),Thoubal (Manipur),0.562707176413988,0.563687279589779,0.0009801031757910028,6,1,0.7004647538903412,65,389
Mancherial (Telangana),Latehar (Jharkhand),0.5576243074206787,0.5596472793810376,0.0020229719603589436,0,6,0.6999262043283102,570,239
Nicobar (Andaman Nicobar Islands),Sidhi (Madhya Pradesh),0.5757717490671338,0.5766409144948892,0.0008691654277553917,3,4,0.6995574292105341,0,340
Ernakulam (Kerala),Bikaner (Rajasthan),0.6464996536428517,0.6472063448984126,0.0007066912555608873,3,4,0.6995545596567709,281,495
Neemuch (Madhya Pradesh),Kozhikode (Kerala),0.6558120357989872,0.6576581655154256,0.0018461297164383828,4,3,0.6992944328500487,326,287
Alappuzha (Kerala),Lohardaga (Jharkhand),0.6160406437852519,0.6165784713759043,0.0005378275906523511,3,4,0.6991160775477191,280,240
Munger (Bihar),Bijapur (Chhattisgarh),0.5370959275601832,0.5383486818655444,0.0012527543053612034,7,6,0.6986996722270139,89,112
Pune (Maharashtra),Yadgir (Karnataka),0.5695950670503351,0.5721075778301331,0.0025125107797979718,2,4,0.6977116865538507,371,279
Malappuram (Kerala),Ramban (Jammu Kashmir),0.6104726497390263,0.6123478602808035,0.0018752105417771947,3,4,0.6947915156581642,288,220
Dhenkanal (Odisha),Kolasib (Mizoram),0.6065283854250764,0.607309295112654,0.0007809096875776023,5,7,0.6946875020314482,440,404
Kottayam (Kerala),Balrampur (Chhattisgarh),0.560417011108379,0.5631711276629844,0.0027541165546053348,3,4,0.6938906329253046,286,109
Mumbai Suburban (Maharashtra),Barwani (Madhya Pradesh),0.6075239297541122,0.6113329411038655,0.0038090113497533107,2,4,0.692181728727773,363,301
Palakkad (Kerala),Karimganj (Assam),0.5625093584096452,0.5634455590931304,0.000936200683485211,3,7,0.6919066464404353,289,56
Kandhamal (Odisha),North Goa (Goa),0.6581365535388186,0.6617161312607145,0.003579577721895877,4,3,0.6900448833930133,447,137
Simdega (Jharkhand),Vikarabad (Telangana),0.5447764826530025,0.5479012033304308,0.0031247206774283054,6,0,0.6892618377882271,249,583
Chhota Udaipur (Gujarat),Kancheepuram (Tamil Nadu),0.6207035388215992,0.6208746671920773,0.0001711283704780575,4,3,0.6892017441377147,147,532
Sonbhadra (Uttar Pradesh),Kamrup Metropolitan (Assam),0.5417565046860109,0.5423008528057629,0.0005443481197520139,6,7,0.6870139741658211,680,54
Sukma (Chhattisgarh),Deoria (Uttar Pradesh),0.5823770192058276,0.5833881642400085,0.0010111450341808714,4,6,0.6868931228754668,130,628
Mamit (Mizoram),Dhenkanal (Odisha),0.6054204224032614,0.6065283854250764,0.0011079630218149283,7,5,0.6860610384995878,407,440
Aurangabad (Maharashtra),South Salmara Mancachar (Assam),0.5621463260099421,0.562707176413988,0.000560850404045965,7,6,0.6860176864501677,349,65
Dhemaji (Assam),Meerut (Uttar Pradesh),0.6028882074374831,0.6029655093119133,7.730187443022452e-05,4,2,0.6848521897402863,44,662
Nalgonda (Telangana),Alappuzha (Kerala),0.6146733360275944,0.6160406437852519,0.0013673077576574766,0,3,0.6847755378505743,574,280
Dhemaji (Assam),Pathankot (Punjab),0.6028882074374831,0.6034135963955222,0.000525388958039108,4,2,0.6831813459108346,44,481
Chhatarpur (Madhya Pradesh),Nicobar (Andaman Nicobar Islands),0.5731641908146796,0.5757717490671338,0.0026075582524541785,6,3,0.6823600214057467,306,0
Vadodara (Gujarat),Dhemaji (Assam),0.6011030397164948,0.6028882074374831,0.0017851677209882455,2,4,0.6820257609964895,170,44
Dungarpur (Rajasthan),Kozhikode (Kerala),0.6571541197225185,0.6576581655154256,0.0005040457929070818,4,3,0.6818666876535202,501,287
Dimapur (Nagaland),Garhwa (Jharkhand),0.5081114525870024,0.5127357461516312,0.00462429356462879,1,6,0.6812480222277015,410,231
Lucknow (Uttar Pradesh),South Salmara Mancachar (Assam),0.5596752806475477,0.562707176413988,0.0030318957664403623,7,6,0.6809252507157615,655,65
Pashchimi Singhbhum (Jharkhand),Jalgaon (Maharashtra),0.5194224895418925,0.5246538949473816,0.0052314054054890535,6,7,0.6782374021630924,243,358
Kohima (Nagaland),Rayagada (Odisha),0.5994527038038355,0.5997608321426621,0.000308128338826541,1,4,0.6779234854507661,412,458
Baran (Rajasthan),Mumbai (Maharashtra),0.6913837237022566,0.6942391974004617,0.0028554736982050466,4,2,0.6777367784155051,491,362
Lalitpur (Uttar Pradesh),Thiruvananthapuram (Kerala),0.5843267584302546,0.5866864716453845,0.002359713215129844,6,3,0.6764275615749099,654,291
Kottayam (Kerala),Surendranagar (Gujarat),0.560417011108379,0.5634328485029255,0.0030158373945464723,3,7,0.6757424577508463,286,167
Namsai (Arunachal Pradesh),Mewat (Haryana),0.5008635307855385,0.5027390367000252,0.0018755059144867081,1,6,0.6741893008373572,27,185
Bijapur (Chhattisgarh),Pratapgarh (Uttar Pradesh),0.5383486818655444,0.5408407719956648,0.002492090130120417,6,7,0.6719064258113029,112,667
Sukma (Chhattisgarh),West (NCT Delhi),0.5823770192058276,0.5837111299401948,0.0013341107343671776,4,2,0.6718500756365073,130,431
Saiha (Mizoram),Bijapur (Chhattisgarh),0.5356246320667303,0.5383486818655444,0.002724049798814132,1,6,0.6717242344382325,408,112
Kandhamal (Odisha),Valsad (Gujarat),0.6581365535388186,0.6613452449749101,0.003208691436091482,4,2,0.6696282009354428,447,171
Ernakulam (Kerala),Kalahandi (Odisha),0.6464996536428517,0.6499282685267391,0.0034286148838874597,3,4,0.6691970104894073,281,446
Thoubal (Manipur),Kaushambi (Uttar Pradesh),0.563687279589779,0.5641762441493862,0.000488964559607119,1,6,0.6688339359230391,389,651
Bijapur (Chhattisgarh),Kamrup Metropolitan (Assam),0.5383486818655444,0.5423008528057629,0.003952170940218491,6,7,0.6686336985284115,112,54
Katni (Madhya Pradesh),Alappuzha (Kerala),0.6137384114896133,0.6160406437852519,0.00230223229563864,4,3,0.6675480482238934,319,280
Almora (Uttarakhand),Jhabua (Madhya Pradesh),0.6285802830659845,0.6311513208286917,0.0025710377627072845,2,4,0.6666467999760215,596,318
Rewa (Madhya Pradesh),Kottayam (Kerala),0.5585230867517468,0.560417011108379,0.0018939243566322705,6,3,0.6659182286200226,331,286
