state,district,census_code,cluster,cluster_name,composite_score,composite_group,distance_to_centroid,domain_child_health_immunisation,domain_education,domain_energy,domain_maternal_health,domain_ncd,domain_nutrition,domain_population_household,domain_tobacco_alcohol,domain_wash,domain_women_empowerment
Assam,Kokrajhar,18001.0,7,"Middle development, weak women's agency",0.5510433848165688,1,6.036433016762985,-0.7924391232020346,-0.3486391884308874,-0.6021210893642299,-0.11127312548647914,0.2847529603148011,0.3164266090160484,0.15979793383623261,-1.1043350569533594,-0.393057643346368,-0.24935429818999885
Assam,Lakhimpur,18008.0,4,"Middle development, weak schooling",0.5951017091141261,3,5.923125338275258,-0.15950684047939118,0.49672492468171364,-0.35261749661431774,0.019916262945671732,0.2782203978367426,0.387506768170498,0.21214986209410547,-1.43608397527724,-0.697186747307698,-0.022840569784774677
Assam,Majuli,,7,"Middle development, weak women's agency",0.5744798316089352,2,6.560595187520031,0.03459054158493907,0.21889023397679244,-1.1473249624409656,0.12182851365702785,-0.034962151272697035,0.4726033907152721,-0.14284403097187018,-2.1091509567142595,0.06823222414557265,-0.18943939050242614
Assam,Morigaon,18005.0,4,"Middle development, weak schooling",0.5773622017693061,3,5.845885405464807,-0.30050522688388287,-0.29243229105890933,-1.2515613276021118,-0.016941302283467616,0.11626248449482131,0.1719988278744606,0.3634974101580874,-0.49013229586025414,-0.29382319254462097,-0.05417671898842395
Assam,Nagaon,18006.0,7,"Middle development, weak women's agency",0.5222872233699014,1,5.992670042661911,-1.267220105208584,-0.17103209418643583,-0.626961645526025,-0.136235032505979,0.010650638442143175,0.24966889365027192,0.1955800152026285,-0.11277502503311448,-0.06768428414271432,-0.6174128476976383
Assam,Nalbari,18024.0,7,"Middle development, weak women's agency",0.545101444209938,1,4.248427711052363,-0.302942016905119,0.3545463527436275,-0.3440077880321669,-0.32873455000865076,-0.4040590428579078,-0.1143737640462752,0.2515285299699443,0.1399370473426972,0.21167400351705007,-0.435285655634433
Assam,Sivasagar,18012.0,7,"Middle development, weak women's agency",0.5897811663907281,3,5.483848832945917,0.02186832988984281,0.6030905510754625,-0.18215721625770778,0.22773568806453998,-0.33068762558736636,0.4726081173435692,0.11802059234160915,-1.4201425983100788,0.2947915409796217,-0.09082294335758472
Assam,Sonitpur,18007.0,4,"Middle development, weak schooling",0.567253099795637,2,6.930201881267711,-0.35651114672789597,-0.3448574647647294,-1.2388027423750012,-0.2965402414276515,-0.020405060296525813,-0.03594411829786567,0.8806068319501761,-0.7447858695576709,-0.663304435255085,0.2506114384703567
Assam,South Salmara Mancachar,,6,"Low development, weak clean energy and weak civil registration",0.562707176413988,2,7.840835440838502,-0.4340748317117174,-0.8465271797584788,-2.647757969322246,-0.1719066599940204,0.5424732167772144,0.2309562657003645,-0.18473932626755232,0.07932089372513416,-0.18908869593793853,-0.25590354827837397
Assam,Tinsukia,18010.0,7,"Middle development, weak women's agency",0.5510818379745783,2,5.855449633655011,-0.12179080729431578,-0.5339565962624975,-0.4344078074911445,-0.19641798640624017,-0.15258266999241987,0.3246733641967823,0.0587364528429846,-1.3457579175769778,-0.0035311099836004556,-0.228616240464829
Assam,Udalguri,18027.0,7,"Middle development, weak women's agency",0.4951517335090582,0,7.3542742100446965,-1.2871350262715908,-0.6420803654218181,-0.6014201502835129,-0.3214914682146704,-0.10656876610184803,0.015864458522008722,0.7195599175682319,-0.758075379528322,-0.6437312935674884,-0.7775668653316052
Assam,West Karbi Anglong,,1,"Low development, high tobacco & alcohol use and weak maternal care",0.5255371627386545,1,7.908511568370355,-1.1687657219775924,-0.4748516202745503,-1.0355161078589081,-0.19683485994880875,0.31685258415950585,0.6612739910423989,-0.06833602697675341,-1.9124013366887143,-1.9937918504570817,0.13900324290432614
Bihar,Araria,10007.0,6,"Low development, weak clean energy and weak civil registration",0.4142771406549447,0,7.71411071567534,-1.0234786896791772,-1.5400303762577472,-0.9061069605868268,-1.0077040748126236,0.3595392030140771,-0.2404631499821068,-1.4470488995187596,0.15241024623998461,-0.8712688506641775,-1.7236573318423982
Bihar,Arwal,10038.0,6,"Low development, weak clean energy and weak civil registration",0.5406405398033195,1,5.384310520521486,0.09804538923133807,-0.5209227880510726,-0.4692477880023791,-0.2996756637443255,0.47605675948296056,-0.28140545153728996,-1.239786776134808,0.12242131303522688,-0.634818687942279,-0.6840757385327023
Bihar,Aurangabad,10033.0,6,"Low development, weak clean energy and weak civil registration",0.5722484621574054,2,4.900800960375737,0.39624836517081785,-0.3373496387633534,-0.23425715524706237,-0.26445342166537267,0.3561944796445237,-0.2214769559068612,-1.0036190413151902,0.12861599175810845,-0.49819395620693396,-0.1994829372806018
Bihar,Banka,10023.0,6,"Low development, weak clean energy and weak civil registration",0.5177529632511803,1,6.6943589652179485,0.2541678401044474,-0.6766693054356432,-0.5520712639090641,-0.5450275194602923,0.026984191209897375,-0.5399796945646597,-0.9139048034685452,0.24985923601908566,-1.0393108745845572,-0.7142571438294288
Bihar,Begusarai,10020.0,6,"Low development, weak clean energy and weak civil registration",0.4997559267440938,0,5.253927719308252,-0.5509164724805764,-0.13770217214124386,-0.2849917032574185,-0.5920267812372045,0.373385829118934,-0.5977157265176539,-0.6681865435920548,0.2832276090248793,-0.020960989151765752,-1.2578784936215945
Bihar,Bhagalpur,10022.0,6,"Low development, weak clean energy and weak civil registration",0.4992586742914566,0,6.553173742304843,-0.3571801210924535,-0.27273437092936226,-0.407500921269634,-0.717420249019552,0.42973248750273074,-0.7956358552820504,-1.2947930496542062,0.22505731862213268,-0.13436798089909485,-0.8194626345439374
Bihar,Bhojpur,10029.0,6,"Low development, weak clean energy and weak civil registration",0.5082801785610377,0,4.7370848099575795,-0.5074316311958091,-0.2726855072130601,-0.12728595399653664,-0.5346579820478371,0.3284307580495303,-0.38310433927734255,-1.1995218072169933,0.340881271116471,-0.5589386065479814,-0.6633299110271209
Bihar,Buxer,,6,"Low development, weak clean energy and weak civil registration",0.5507263030414423,1,4.85462187175584,-0.3607237644037321,-0.24047190214027736,-0.017551537736959943,-0.31784410850279665,0.6077370031632173,-0.18675498519464576,-1.0309361651375626,0.5173953398432038,-0.323570165153852,-0.4787657010301432
Bihar,Darbhanga,10013.0,6,"Low development, weak clean energy and weak civil registration",0.4661683851787622,0,5.525535156657179,-0.7264116417411614,-1.4121116455007106,-0.23874636610392622,-0.7106000530188704,-0.09485338068717893,-0.13388796736553224,-0.8428812447122439,0.213887893019093,-0.4540529243458172,-0.9132422503882088
Bihar,Gaya,10034.0,6,"Low development, weak clean energy and weak civil registration",0.5471831695106131,1,4.55375158609867,-0.051138017432167976,-0.709465774973834,-0.2970574576665748,-0.41770272849405277,0.44895953803684047,-0.0869670568341101,-1.1491729491652591,-0.07729429619117004,-0.6425468851535157,-0.11330904497375827
Bihar,Gopalganj,10015.0,6,"Low development, weak clean energy and weak civil registration",0.5362337537959717,1,4.5796473694709245,0.11724458379199693,-0.7655142281859497,-0.4050739863411042,-0.5923867080388145,0.28199667646319854,-0.11826368384490844,-0.4486557583337822,0.33458212085947436,-0.04588299104881394,-0.897247493764908
Bihar,Jamui,10036.0,6,"Low development, weak clean energy and weak civil registration",0.5053219792037914,0,6.028101739134455,-0.362025235038004,-0.8260096343953338,-0.18318632715618333,-0.530220715948573,0.4380775575421544,-0.5967021276092652,-0.9889773968255219,0.020160422073116094,-1.4167046484560473,-0.7073455281849342
Bihar,Jehanabad,10037.0,6,"Low development, weak clean energy and weak civil registration",0.5413493679082522,1,5.42168885324068,-0.010582230657377541,-0.4132985316741026,-0.1362481591847382,-0.2667674130158899,0.49750815071425214,-0.32579447354972846,-0.7594194473057237,-0.04712733888004536,-0.566902878241571,-0.8444834823172439
Bihar,Kaimur (Bhabua),10031.0,6,"Low development, weak clean energy and weak civil registration",0.6024071008423451,4,5.952495719235381,0.28963746810926466,-0.7129789023556982,-0.5600043581987885,-0.14190680842438277,0.8157187262133484,-0.04095926813553983,-0.9490695552261013,0.27536792793709514,-0.19784607996545622,0.15997729255637777
Bihar,Katihar,10010.0,6,"Low development, weak clean energy and weak civil registration",0.4397450339020589,0,7.141082182582748,-0.5388476142422556,-1.2581948038455475,-1.3781829350768504,-0.8942686285370739,0.15102316886518807,-0.20110707643388795,-1.1030694539557107,0.30188920656616375,-0.635493763035031,-1.7722030584574386
Bihar,Khagaria,10021.0,6,"Low development, weak clean energy and weak civil registration",0.4545752283944576,0,7.112075545405724,-0.45199399530123247,-1.059437528515445,-0.7387623918453184,-0.7858197983829981,0.07013172085073019,-0.3868460959923327,-1.2161069384025203,0.5395693657598097,0.059356802876879056,-1.648964560000881
Bihar,Kishanganj,10008.0,6,"Low development, weak clean energy and weak civil registration",0.4243495430433829,0,8.333922325367666,-0.5791725700765267,-1.471506345469506,-0.9523482436089381,-1.3226127977367494,0.21177857673308542,-0.3205930754056568,-0.7532175046049341,0.2419335837305121,-0.31128622006709195,-1.8849427956950908
Bihar,Lakhisarai,10025.0,6,"Low development, weak clean energy and weak civil registration",0.4894797025960093,0,5.908315953761605,-0.5616589740950134,-0.49451947170269744,-0.12141918976652923,-0.699491074745696,0.37433945697126725,-0.812093077812572,-1.07257916920997,0.2566495553194757,-0.5483257750159486,-0.9122962608068168
