state,district,census_code,composite_score,composite_group,domain_score,domain_group,state_group,region,region_group
Karnataka,Koppal,29006.0,0.576640610517683,3,0.5800341836898333,3,13,South,4
Karnataka,Mandya,29019.0,0.6775128018249553,7,0.7201613132291985,7,13,South,4
Karnataka,Mysore,29023.0,0.6797090115153347,7,0.7145971829986815,7,13,South,4
Karnataka,Raichur,29005.0,0.5764841057381199,3,0.5717637725035309,2,13,South,4
Karnataka,Ramanagara,29030.0,0.6609584974779992,6,0.7206661856466674,7,13,South,4
Karnataka,Shimoga,29014.0,0.6410490550646011,5,0.6862257874502872,6,13,South,4
Karnataka,Tumkur,29017.0,0.6511404979410191,6,0.6954589465943969,7,13,South,4
Karnataka,Udupi,29015.0,0.6354611671951724,5,0.6816613909061408,6,13,South,4
Karnataka,Uttara Kannada,29009.0,0.6332133153387611,5,0.6681743766386559,6,13,South,4
Karnataka,Yadgir,29026.0,0.5721075778301331,2,0.5422430036868879,1,13,South,4
Kerala,Alappuzha,32011.0,0.6160406437852519,4,0.7291088435490434,7,14,South,4
Kerala,Ernakulam,32008.0,0.6464996536428517,6,0.7444697937382181,7,14,South,4
Kerala,Idukki,32009.0,0.6251358583987333,5,0.6856906783408043,6,14,South,4
Kerala,Kannur,32002.0,0.6228907645298017,5,0.7231841013282317,7,14,South,4
Kerala,Kasaragod,32001.0,0.6639031527136265,6,0.7240223163731485,7,14,South,4
Kerala,Kollam,32013.0,0.6221299737357758,5,0.71486396078646,7,14,South,4
Kerala,Kottayam,32010.0,0.560417011108379,2,0.6773015113183498,6,14,South,4
Kerala,Kozhikode,32004.0,0.6576581655154256,6,0.7502769911003527,7,14,South,4
Kerala,Malappuram,32005.0,0.6104726497390263,4,0.6991098813047204,7,14,South,4
Kerala,Palakkad,32006.0,0.5625093584096452,2,0.671365113092936,6,14,South,4
Kerala,Pathanamthitta,32012.0,0.5994602522678962,4,0.7031533343696993,7,14,South,4
Kerala,Thiruvananthapuram,32014.0,0.5866864716453845,3,0.6897531887016376,7,14,South,4
Kerala,Thrissur,32007.0,0.5967346497432651,3,0.7002286690254655,7,14,South,4
Kerala,Wayanad,32003.0,0.664723622448249,6,0.7101892121027766,7,14,South,4
Ladakh,Kargil,1004.0,0.6663023673043793,6,0.6429129014445419,5,15,North,2
Ladakh,Leh(Ladakh),1003.0,0.6562460253990136,6,0.6325024904931783,4,15,North,2
Madhya Pradesh,Agar Malwa,,0.6234978310036305,5,0.6090646696528068,4,16,Central,0
Madhya Pradesh,Alirajpur,23048.0,0.6036400618582448,4,0.5573600599346735,2,16,Central,0
Madhya Pradesh,Anuppur,23044.0,0.5931223722355016,3,0.5509924761489018,2,16,Central,0
