child_stunted,child_wasted,child_severely_wasted,child_underweight,child_overweight,children_anaemic,women_15_19_anaemic,women_15_49_anaemic,nonpregnant_women_anaemic
31.3,19.2,11.4,28.1,4.3,58.9,45.1,35.5,36.0
36.6,16.2,9.4,23.8,6.0,60.8,43.9,44.2,44.6
32.8,23.6,10.2,36.9,2.9,72.7,48.5,52.9,53.4
36.1,22.9,13.6,36.5,1.2999999999999998,67.5,58.5,58.1,58.7
36.8,22.1,11.1,36.1,2.5,69.3,51.7,55.9,55.7
45.9,15.0,4.3,39.0,2.7,65.2,52.6,52.9,52.2
32.2,18.0,6.8,28.7,1.6,68.7,52.9,46.3,46.4
31.3,16.1,6.1,25.2,2.2,59.0,46.9,45.5,45.8
27.3,24.9,11.5,25.4,6.6,53.2,45.6,40.8,41.0
36.0,17.9,8.3,32.4,3.1,61.1,50.2,44.6,44.2
25.1,30.5,15.7,26.4,6.9,51.1,35.0,38.8,38.9
38.4,18.8,3.9,32.8,2.5,70.2,51.5,51.7,51.9
45.2,16.5,4.6,40.4,2.8,67.2,50.5,52.1,51.4
45.2,18.2,4.5,39.8,1.5,70.3,54.1,50.5,50.5
34.5,25.0,12.2,36.2,4.1,75.1,61.4,56.0,56.0
27.1,15.2,5.2,23.8,5.1,63.6,34.2,42.2,42.0
29.9,17.7,3.9,35.0,0.0,66.9,51.5,50.8,50.4
30.4,21.7,9.3,22.6,7.3,54.4,35.8,39.9,39.6
31.1,15.5,5.8,15.7,5.3,57.9,46.9,43.6,43.8
49.1,23.1,3.8,45.8,0.7999999999999994,70.7,55.3,54.8,54.8
24.3,11.8,5.3,16.7,1.2999999999999998,58.2,42.9,47.0,47.1
27.5,15.6,7.2,28.2,1.2999999999999998,57.2,41.7,48.0,48.7
39.8,23.2,11.7,40.7,1.6,73.6,64.8,60.4,59.9
15.600000000000001,20.0,7.7,19.8,4.0,60.2,47.2,45.5,45.3
29.0,23.2,13.5,34.4,6.0,68.9,44.7,41.9,42.1
40.3,10.900000000000002,3.0999999999999996,26.7,6.1,67.6,47.9,49.3,48.9
23.1,17.6,6.0,21.0,3.2,58.3,49.9,47.3,47.2
29.6,21.9,13.1,33.3,3.3,69.0,44.6,44.6,45.0
57.6,17.7,7.2,45.2,2.3,76.0,61.8,57.3,57.1
20.1,14.4,2.0999999999999996,20.4,4.5,30.299999999999997,22.9,31.9,32.0
22.0,17.1,7.4,19.4,5.4,36.4,30.100000000000005,31.7,32.1
24.3,14.5,6.8,23.6,2.3,32.0,33.8,32.0,32.4
19.4,14.0,6.9,17.9,3.0,37.2,30.4,39.7,39.7
25.3,12.6,5.7,21.4,1.6,34.3,39.6,35.4,35.6
15.5,21.4,6.9,17.0,9.4,32.5,24.5,36.0,36.7
23.4,8.4,2.3,17.3,3.2,36.8,38.1,38.7,38.6
21.3,14.1,3.4000000000000004,18.9,4.4,32.1,32.6,29.8,30.2
29.4,18.2,6.5,21.4,3.3,47.2,38.1,34.7,34.5
29.7,21.7,9.0,27.7,1.0999999999999996,51.9,43.3,49.6,50.0
22.7,11.4,3.9,11.2,5.0,44.2,20.9,36.4,36.9
19.5,17.4,6.3,15.2,2.8,33.0,20.9,33.0,32.5
22.0,9.6,3.8,17.3,6.1,48.7,36.5,44.4,44.9
31.3,16.1,5.3,22.5,6.5,39.4,27.7,26.9,27.0
36.5,17.7,10.5,21.8,14.0,87.9,97.1,92.0,92.8
24.3,17.2,7.6,19.0,12.7,95.5,96.8,93.5,94.6
40.3,18.7,5.7,35.7,0.0,71.6,56.4,59.2,59.5
34.6,15.4,5.4,31.6,2.3,76.4,76.5,60.5,60.4
24.0,18.4,5.3,30.7,0.8999999999999999,49.2,43.6,52.6,52.5
32.6,19.7,4.5,31.1,0.5,59.7,45.0,46.1,46.3
41.9,20.5,5.4,44.9,1.0,56.8,56.7,60.6,61.0
45.8,18.9,6.0,41.0,3.6,78.2,67.0,58.4,58.5
30.8,21.7,4.5,31.4,0.0,57.8,56.6,56.2,55.8
32.2,12.4,4.9,29.0,1.2000000000000002,75.6,69.9,69.9,70.3
19.9,20.6,4.3,29.1,1.7999999999999998,68.5,54.6,53.5,53.9
38.7,27.9,13.1,47.2,3.2,77.9,66.5,57.3,58.0
45.1,17.5,5.8,34.6,1.4,87.2,67.1,63.5,63.4
23.9,18.1,4.5,32.8,0.30000000000000027,50.5,45.3,41.7,41.8
40.3,16.2,6.0,32.3,2.3999999999999995,76.3,57.0,48.1,47.9
36.8,16.4,6.8,29.4,2.8,72.8,59.5,58.6,58.6
36.8,20.4,7.6,30.7,4.5,79.4,59.0,51.3,51.8
